sec,tcp.ack,speed
0.5464808940887451,0,0.0
0.5880749225616455,3091080887,0.0
0.588615894317627,3091080887,0.0
0.6438260078430176,3091084192,0.0
0.6468238830566406,3091084192,0.0
0.669990062713623,3091084192,0.0
0.7129800319671631,3091084243,0.0
0.7133541107177734,3091084243,0.0
0.9909329414367676,3091085625,0.0
0.992501974105835,3091098063,0.0
0.9925639629364014,3091098063,0.0
1.032392978668213,3091100827,0.0
1.0336320400238037,3091102209,0.0
1.0353100299835205,3091117411,0.0
1.035377025604248,3091125703,0.0
1.0359530448913574,3091125703,0.0
1.0864648818969727,3091169927,0.0
1.0877819061279297,3091180983,0.0
1.0878570079803467,3091180983,0.0
1.126573085784912,3091182365,0.0
1.1285901069641113,3091197567,0.0
1.1286239624023438,3091212769,0.0
1.1286370754241943,3091226589,0.0
1.1295480728149414,3091226589,0.0
1.1298329830169678,3091243173,0.0
1.1305179595947266,3091266667,0.0
1.1643500328063965,3091268049,0.0
1.1667640209197998,3091291543,0.0
1.1717939376831055,3091346851,0.0
1.1951639652252197,3091392115,0.0
1.1968579292297363,3091428916,0.0
1.3141939640045166,3091428916,0.0
1.3142321109771729,3091428916,0.0
1.3142549991607666,3091428916,0.0
1.3142731189727783,3091428916,0.0
1.3142900466918945,3091428916,0.0
1.314305067062378,3091428916,0.0
1.3155739307403564,3091428916,0.0
1.3700299263000488,3091428916,0.0
1.370063066482544,3091428916,0.0
1.3700759410858154,3091428916,0.0
1.3700940608978271,3091428916,0.0
1.3701059818267822,3091428916,0.0
1.3701179027557373,3091428916,0.0
1.3721950054168701,3091428916,0.0
1.3722290992736816,3091527394,0.0
1.3724820613861084,3091527394,0.0
1.3736560344696045,3091527394,0.0
1.3746800422668457,3091527394,0.0
1.4122960567474365,3091635546,0.0
1.414463996887207,3091724350,0.0
1.4157710075378418,3091724350,0.0
1.4244410991668701,3091725732,0.0
1.425671100616455,3091732642,0.0
1.425713062286377,3091732642,0.0
1.4543859958648682,3091747844,0.0
1.4544320106506348,3091763046,0.0
1.4544470310211182,3091776866,0.0
1.4544610977172852,3091781012,0.0
1.455651044845581,3091781012,0.0
1.4560790061950684,3091825236,1528888.0234573034
1.4569599628448486,3091839056,1528888.0234573034
1.457711935043335,3091840623,1528888.0234573034
1.460158109664917,3091882083,1528888.0234573034
1.4613709449768066,3091920779,1528888.0234573034
1.4619479179382324,3091921306,1528888.0234573034
1.5638020038604736,3091921306,1528888.0234573034
1.5638420581817627,3091921306,1528888.0234573034
1.5656468868255615,3091921306,1528888.0234573034
1.5656790733337402,3091921306,1528888.0234573034
1.5656940937042236,3091921306,1528888.0234573034
1.5657119750976562,3091921306,1528888.0234573034
1.5657260417938232,3091921306,1528888.0234573034
1.6049389839172363,3092118262,1528888.0234573034
1.6063480377197266,3092119644,1528888.0234573034
1.6076910495758057,3092163868,1528888.0234573034
1.6077179908752441,3092179070,1528888.0234573034
1.6077449321746826,3092194272,1528888.0234573034
1.6077680587768555,3092199800,1528888.0234573034
1.6082890033721924,3092200327,1528888.0234573034
1.610733985900879,3092200327,1528888.0234573034
1.655885934829712,3092215529,1528888.0234573034
1.6559569835662842,3092230560,1528888.0234573034
1.6559779644012451,3092244380,1528888.0234573034
1.6559970378875732,3092245762,1528888.0234573034
1.6572420597076416,3092277035,1528888.0234573034
1.6587250232696533,3092303293,1528888.0234573034
